[2024-02-27 03:59:10,512] ERROR    Navigator    No target position received
[2024-02-27 03:59:10,512] ERROR    Navigator    No target position received
[2024-02-27 03:59:10,512] ERROR    Navigator    No target position received
[2024-02-27 03:59:11,154] ERROR    Navigator    No target position received
[2024-02-27 03:59:11,154] ERROR    Navigator    No target position received
[2024-03-04 09:46:38,514] INFO     AppCommand   autoMode received: 253
[2024-03-04 10:06:00,381] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:12,886] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:15,629] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:07:15,629] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:07:21,108] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:21,108] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:21,108] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:24,111] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:07:24,111] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:07:24,111] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:07:24,111] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:07:33,669] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:33,669] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:33,669] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:33,669] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:33,669] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:37,249] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:07:37,249] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:07:37,249] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:07:37,249] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:07:37,249] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:07:37,249] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:07:46,111] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:46,111] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:46,111] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:46,111] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:46,111] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:46,111] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:46,111] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:49,781] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:07:49,781] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:07:49,781] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:07:49,781] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:07:49,781] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:07:49,781] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:07:49,781] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:07:49,781] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:07:56,704] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:56,704] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:56,704] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:56,704] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:56,704] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:56,704] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:56,704] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:56,704] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:07:56,704] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:08:00,881] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:00,881] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:00,881] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:00,881] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:00,881] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:00,881] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:00,881] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:00,881] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:00,881] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:00,881] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:08,873] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:08:08,873] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:08:08,873] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:08:08,873] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:08:08,873] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:08:08,873] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:08:08,873] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:08:08,873] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:08:08,873] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:08:08,873] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:08:08,873] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:08:13,076] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:13,076] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:13,076] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:13,076] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:13,076] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:13,076] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:13,076] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:13,076] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:13,076] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:13,076] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:13,076] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:13,076] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:18,512] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:08:18,512] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:08:18,512] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:08:18,512] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:08:18,512] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:08:18,512] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:08:18,512] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:08:18,512] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:08:18,512] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:08:18,512] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:08:18,512] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:08:18,512] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:08:18,512] ERROR    AppData      'MsgImuRaw' object has no attribute 'mag_x'
[2024-03-04 10:08:22,670] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:22,670] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

[2024-03-04 10:08:22,670] INFO     AppData      Connected to MQTT Broaker: 192.168.250.112

